home_win_pct,home_obp,home_home_runs,home_ops,home_era,home_whip,home_strikeouts,away_win_pct,away_obp,away_home_runs,away_ops,away_era,away_whip,away_strikeouts,is_home,game_winner
0.7142857142857143,.355,5,.784,4.43,1.19,65,0.16666666666666666,.279,9,.685,5.02,1.67,46,1,1
0.2857142857142857,.283,11,.669,5.46,1.59,65,0.5555555555555556,.344,14,.794,5.13,1.54,62,1,0
1.0,.369,6,.809,1.57,0.90,69,0.3333333333333333,.295,7,.687,4.41,1.47,32,1,1
0.42857142857142855,.285,7,.594,4.00,1.27,56,0.3333333333333333,.336,6,.755,5.08,1.09,50,1,1
0.3333333333333333,.270,2,.492,3.33,1.07,66,0.8333333333333334,.273,10,.672,2.72,1.00,53,1,0
0.5714285714285714,.317,5,.681,3.44,1.21,55,0.5,.275,7,.625,2.38,1.17,55,1,0
0.5,.341,10,.804,4.33,1.40,54,0.3333333333333333,.300,4,.630,3.78,1.18,36,1,0
0.8,.377,8,.885,3.20,1.09,66,0.2,.250,3,.538,4.61,1.54,28,1,1
0.6,.345,19,.978,4.20,1.24,49,0.6666666666666666,.368,8,.843,4.50,1.13,64,1,0
1.0,.324,18,.814,1.97,1.19,91,0.0,.251,4,.485,5.11,1.38,50,1,1
0.42857142857142855,.338,11,.798,4.87,1.41,65,0.42857142857142855,.303,7,.674,3.81,1.19,47,1,0
0.8333333333333334,.381,9,.881,2.83,1.09,76,0.16666666666666666,.258,3,.552,4.04,1.59,35,1,1
0.2857142857142857,.240,5,.534,5.34,1.37,56,0.42857142857142855,.274,4,.544,3.14,1.00,77,1,0
0.6666666666666666,.357,22,1.006,4.67,1.28,58,0.5714285714285714,.363,9,.829,5.23,1.26,71,1,1
0.42857142857142855,.291,6,.622,6.68,1.40,60,0.2857142857142857,.254,7,.572,2.47,0.85,53,1,1
0.42857142857142855,.348,9,.802,4.92,1.11,61,0.2857142857142857,.271,9,.643,3.48,1.16,56,1,1
0.5,.335,9,.750,4.37,1.26,56,0.5714285714285714,.381,13,.887,4.85,1.12,49,1,1
0.6,.341,14,.764,4.70,1.47,68,0.875,.351,7,.779,1.65,0.94,74,1,1
0.5714285714285714,.273,8,.627,2.03,1.11,65,0.625,.338,5,.739,4.56,1.17,66,1,1
0.14285714285714285,.277,3,.585,3.90,1.53,42,0.375,.288,12,.673,5.00,1.58,79,1,0
0.25,.294,6,.595,4.61,1.49,65,0.7142857142857143,.376,23,.997,4.57,1.29,69,1,0
0.8571428571428571,.302,11,.731,2.95,1.17,61,0.375,.306,9,.639,4.52,1.40,68,1,1
0.14285714285714285,.273,12,.693,5.16,1.64,52,0.625,.359,11,.835,5.07,1.21,77,1,0
0.8571428571428571,.373,9,.846,2.71,1.08,87,0.8888888888888888,.319,19,.791,2.00,1.20,98,1,1
0.125,.282,6,.573,4.41,1.26,62,0.5,.298,5,.635,4.26,1.33,64,1,1
0.42857142857142855,.297,4,.643,3.08,1.26,57,0.375,.328,11,.764,5.22,1.43,70,1,1
0.75,.260,8,.592,2.79,1.06,79,0.5714285714285714,.328,3,.684,2.47,0.92,65,1,1
0.5,.290,7,.620,5.83,1.34,67,0.25,.253,7,.555,2.57,0.89,58,1,1
0.5714285714285714,.286,6,.632,5.06,1.44,57,0.42857142857142855,.310,10,.735,4.35,1.52,46,1,0
0.5,.353,11,.823,4.54,1.13,68,0.25,.277,9,.641,3.99,1.23,64,1,1
0.375,.249,6,.551,4.76,1.35,69,0.375,.279,5,.566,3.42,1.03,87,1,1
